Name	Email	SSN	DOB	Credit Card	Phone
Aradhana Srinivas	yahvikadakia@gmail.com	142-43-2610	1965-12-31	4063335550496612	+915804956729
Amruta Naidu	nirja17@hotmail.com	495-37-6386	1956-01-12	4531369615081709	00422314262
Joshua Dixit	jalsa91@gmail.com	129-57-5535	1984-08-20	4867328886892438	05846412363
Aayush Chaudhuri	onveerprabhakar@hotmail.com	211-60-3798	1976-10-08	4782922471672957	9061296071
Divya Singhal	senguptaaarav@hotmail.com	363-18-3684	1980-10-28	4801619933421133	+914855947079
Chatresh Jha	tkrishna@hotmail.com	425-23-2096	2003-07-04	4156700280200501	6461356237
Gunbir Seshadri	balkaran@hotmail.com	601-86-7656	1964-05-06	4816525583345527	5921561214
Victor Varty	ybalan@gmail.com	820-81-2548	1983-11-27	4922734601614267	01163350574
Sai Krishna	naksh82@yahoo.com	671-49-7405	1974-02-05	4840953134072087	05519655190
Harrison Prabhakar	kaurnandini@hotmail.com	641-90-4698	2000-12-14	4774269713771787	+918430367002
